file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,2a153def,Jenny Xu,2025-01-16,12:15:13,-08:00,2025-01-16T12:15:13-08:00,0,28
style.css,2,css,0788d22a,Jenny Xu,2025-01-16,12:09:27,-08:00,2025-01-16T12:09:27-08:00,0,6
style.css,3,css,2a153def,Jenny Xu,2025-01-16,12:15:13,-08:00,2025-01-16T12:15:13-08:00,0,32
style.css,4,css,0788d22a,Jenny Xu,2025-01-16,12:09:27,-08:00,2025-01-16T12:09:27-08:00,0,0
style.css,5,css,0788d22a,Jenny Xu,2025-01-16,12:09:27,-08:00,2025-01-16T12:09:27-08:00,0,0
style.css,6,css,2a153def,Jenny Xu,2025-01-16,12:15:13,-08:00,2025-01-16T12:15:13-08:00,0,23
style.css,7,css,0788d22a,Jenny Xu,2025-01-16,12:09:27,-08:00,2025-01-16T12:09:27-08:00,0,5
style.css,8,css,2a153def,Jenny Xu,2025-01-16,12:15:13,-08:00,2025-01-16T12:15:13-08:00,0,33
style.css,9,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,30
style.css,10,css,0788d22a,Jenny Xu,2025-01-16,12:09:27,-08:00,2025-01-16T12:09:27-08:00,0,0
style.css,11,css,0788d22a,Jenny Xu,2025-01-16,12:09:27,-08:00,2025-01-16T12:09:27-08:00,0,0
style.css,12,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,23
style.css,13,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,16
style.css,14,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,18
style.css,15,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,16,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,17,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,3
style.css,18,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,15
style.css,19,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,17
style.css,20,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,20
style.css,21,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,22,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,23,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,3
style.css,24,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,15
style.css,25,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,17
style.css,26,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,20
style.css,27,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,28,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,29,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,3
style.css,30,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,15
style.css,31,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,17
style.css,32,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,20
style.css,33,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,0
style.css,34,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,0
style.css,35,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,3
style.css,36,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,15
style.css,37,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,17
style.css,38,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,20
style.css,39,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,0
style.css,40,css,8517ce02,Jenny Xu,2025-01-17,18:18:28,-08:00,2025-01-17T18:18:28-08:00,0,0
style.css,41,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,17
style.css,42,css,0ee5c6a7,Jenny Xu,2025-01-10,17:51:44,-08:00,2025-01-10T17:51:44-08:00,0,5
style.css,43,css,7cd3481c,Jenny Xu,2025-01-16,11:22:08,-08:00,2025-01-16T11:22:08-08:00,0,16
style.css,44,css,c144d5c9,Jenny Xu,2025-01-16,12:04:20,-08:00,2025-01-16T12:04:20-08:00,0,12
style.css,45,css,7cd3481c,Jenny Xu,2025-01-16,11:22:08,-08:00,2025-01-16T11:22:08-08:00,0,13
style.css,46,css,7cd3481c,Jenny Xu,2025-01-16,11:22:08,-08:00,2025-01-16T11:22:08-08:00,0,30
style.css,47,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,19
style.css,48,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,4
style.css,49,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,13
style.css,50,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,18
style.css,51,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,24
style.css,52,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,26
style.css,53,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,40
style.css,54,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,40
style.css,55,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,14
style.css,56,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,19
style.css,57,css,1bd0c2c3,Jenny Xu,2025-01-16,17:31:35,-08:00,2025-01-16T17:31:35-08:00,0,0
style.css,58,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,59,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,6
style.css,60,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,7
style.css,61,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,21
style.css,62,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,14
style.css,63,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,18
style.css,64,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,14
style.css,65,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,66,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,67,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,26
style.css,68,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,14
style.css,69,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,17
style.css,70,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,26
style.css,71,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,40
style.css,72,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,26
style.css,73,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,21
style.css,74,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,75,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,76,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,12
style.css,77,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,22
style.css,78,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,70
style.css,79,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,40
style.css,80,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,26
style.css,81,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,26
style.css,82,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,21
style.css,83,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,84,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,85,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,24
style.css,86,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,13
style.css,87,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,88,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,89,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,5
style.css,90,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,13
style.css,91,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,91
style.css,92,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,46
style.css,93,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,94,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,95,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,6
style.css,96,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,13
style.css,97,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,69
style.css,98,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,19
style.css,99,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,100,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
style.css,101,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,7
style.css,102,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,19
style.css,103,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,13
style.css,104,css,89807e51,Jenny Xu,2025-01-17,01:34:13,-08:00,2025-01-17T01:34:13-08:00,0,0
style.css,105,css,a3e0e722,Jenny Xu,2025-01-24,11:32:32,-08:00,2025-01-24T11:32:32-08:00,0,0
